Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2010-04-30,Adelaide,10.8,21.2,0.0,1.8,6.6,ENE,22.0,ENE,NW,9.0,7.0,66.0,48.0,1028.4,1024.7,4.45,4.51,15.7,21.0,No,No
2014-07-22,Adelaide,3.7,19.0,0.0,1.4,7.61,N,24.0,N,NNE,0.0,11.0,75.0,32.0,1024.2,1021.1,4.45,4.51,9.6,18.5,No,No
2014-07-23,Adelaide,9.6,15.8,0.0,2.6,7.61,NE,52.0,NNE,NE,9.0,20.0,35.0,51.0,1017.9,1011.5,4.45,4.51,14.7,15.4,No,Yes
2014-07-24,Adelaide,10.1,15.5,16.6,0.8,7.61,NNE,50.0,NW,NW,17.0,26.0,96.0,80.0,1007.4,1008.0,4.45,4.51,11.2,14.0,Yes,Yes
2014-07-25,Adelaide,11.2,16.2,1.8,0.6,7.61,NW,30.0,WNW,WNW,13.0,15.0,89.0,70.0,1018.4,1019.2,4.45,4.51,13.0,15.3,Yes,Yes
2014-07-26,Adelaide,10.3,16.2,3.0,5.47,7.61,NNW,22.0,N,NNW,7.0,15.0,99.0,59.0,1028.2,1026.1,4.45,4.51,10.4,15.7,Yes,No
2014-07-27,Adelaide,6.4,17.4,0.0,5.47,7.61,N,43.0,N,NNW,9.0,17.0,63.0,53.0,1024.8,1020.0,4.45,4.51,12.2,16.5,No,No
2014-07-28,Adelaide,9.9,16.7,0.0,3.8,7.61,NW,37.0,N,NW,11.0,19.0,70.0,73.0,1019.1,1016.5,4.45,4.51,12.0,16.1,No,No
2014-07-29,Adelaide,9.1,16.9,0.0,0.8,7.61,NW,50.0,NNW,NW,19.0,17.0,85.0,79.0,1016.9,1016.3,4.45,4.51,12.7,15.4,No,Yes
2014-07-30,Adelaide,12.7,17.3,3.2,0.4,7.61,NNW,43.0,NW,NW,15.0,20.0,88.0,73.0,1018.8,1015.6,4.45,4.51,13.5,16.3,Yes,No
2014-07-21,Adelaide,8.0,16.9,0.0,1.8,7.61,N,24.0,NE,NNW,9.0,9.0,52.0,41.0,1023.1,1020.8,4.45,4.51,12.0,15.6,No,No
2014-07-31,Adelaide,10.1,16.4,0.0,1.4,7.61,W,80.0,NNW,WSW,19.0,20.0,65.0,95.0,1007.2,1006.1,4.45,4.51,14.2,11.2,No,Yes
2014-08-02,Adelaide,2.3,14.1,2.4,5.47,7.61,NNW,28.0,NE,WNW,2.0,9.0,74.0,46.0,1032.9,1031.1,4.45,4.51,7.2,14.0,Yes,No
2014-08-03,Adelaide,3.0,15.0,0.0,5.47,7.61,N,30.0,NNE,NW,6.0,13.0,56.0,34.0,1033.3,1030.8,4.45,4.51,9.4,13.9,No,No
2014-08-04,Adelaide,0.9,14.6,0.0,4.4,7.61,W,24.0,N,W,0.0,15.0,64.0,33.0,1034.7,1033.0,4.45,4.51,7.0,14.2,No,No
2014-08-05,Adelaide,3.0,16.9,0.0,1.2,7.61,WSW,20.0,N,WSW,0.0,11.0,63.0,50.0,1036.6,1034.4,4.45,4.51,9.4,15.6,No,No
2014-08-06,Adelaide,3.3,16.1,0.0,1.6,7.61,WSW,22.0,N,WSW,0.0,11.0,75.0,44.0,1034.8,1032.4,4.45,4.51,9.5,15.0,No,No
2014-08-07,Adelaide,9.4,17.2,0.0,1.8,7.61,N,28.0,NE,NNW,4.0,13.0,61.0,42.0,1033.5,1029.4,4.45,4.51,12.2,17.0,No,No
2014-08-08,Adelaide,3.9,18.3,0.0,1.0,7.61,S,57.0,NE,NW,6.0,7.0,79.0,44.0,1030.2,1027.9,4.45,4.51,9.3,17.8,No,No
2014-08-09,Adelaide,7.8,18.3,0.0,5.47,7.61,N,30.0,NE,NNW,7.0,11.0,47.0,45.0,1027.4,1025.8,4.45,4.51,13.9,16.8,No,No
2014-08-10,Adelaide,6.3,15.2,0.2,5.47,7.61,SSW,33.0,N,SW,2.0,15.0,74.0,45.0,1030.8,1029.4,4.45,4.51,11.5,14.1,No,No
2014-08-01,Adelaide,6.4,12.6,16.0,0.4,7.61,SW,63.0,SW,SW,19.0,26.0,79.0,44.0,1017.4,1022.1,4.45,4.51,7.9,12.2,Yes,Yes
2014-07-20,Adelaide,4.7,14.5,0.0,5.47,7.61,N,24.0,N,NNE,0.0,13.0,83.0,52.0,1028.2,1024.0,4.45,4.51,8.0,14.2,No,No
2014-07-19,Adelaide,6.2,13.2,0.0,5.47,7.61,WSW,22.0,SE,W,7.0,15.0,70.0,68.0,1032.9,1030.3,4.45,4.51,10.0,11.6,No,No
2014-07-18,Adelaide,2.3,13.5,8.0,2.0,7.61,S,24.0,N,WSW,6.0,13.0,88.0,58.0,1030.0,1029.6,4.45,4.51,6.2,12.3,Yes,No
2014-06-27,Adelaide,11.5,17.1,0.0,1.8,7.61,NW,72.0,N,NNW,24.0,26.0,56.0,49.0,1008.1,1001.2,4.45,4.51,13.2,15.9,No,Yes
2014-06-28,Adelaide,8.1,13.1,24.4,5.47,7.61,WSW,59.0,WSW,WSW,22.0,26.0,64.0,58.0,1003.6,1005.7,4.45,4.51,10.6,11.7,Yes,Yes
2014-06-29,Adelaide,9.4,14.4,1.8,5.47,7.61,WSW,43.0,WSW,SW,11.0,22.0,83.0,56.0,1013.6,1015.5,4.45,4.51,10.5,13.0,Yes,No
2014-06-30,Adelaide,6.5,15.3,0.8,4.6,7.61,WNW,26.0,NE,WNW,6.0,15.0,90.0,67.0,1025.7,1025.7,4.45,4.51,9.7,15.0,No,Yes
2014-07-01,Adelaide,9.0,16.0,6.0,0.6,7.61,WNW,22.0,NE,SW,6.0,9.0,94.0,65.0,1031.5,1030.6,4.45,4.51,10.3,14.9,Yes,No
2014-07-02,Adelaide,10.0,16.5,0.8,0.8,7.61,N,24.0,NNE,N,2.0,11.0,74.0,55.0,1031.1,1027.3,4.45,4.51,12.3,15.4,No,No
2014-07-03,Adelaide,8.1,15.9,0.0,1.4,7.61,NNW,43.0,N,N,19.0,24.0,54.0,52.0,1023.5,1018.0,4.45,4.51,12.0,15.5,No,No
2014-07-04,Adelaide,10.2,15.7,0.0,1.2,7.61,W,46.0,N,WNW,11.0,24.0,90.0,62.0,1017.6,1017.1,4.45,4.51,11.3,14.1,No,Yes
2014-07-05,Adelaide,11.0,13.8,3.2,5.47,7.61,WSW,41.0,WSW,W,17.0,17.0,62.0,71.0,1022.6,1021.2,4.45,4.51,12.8,13.4,Yes,Yes
2014-07-06,Adelaide,9.6,15.5,18.6,5.47,7.61,WSW,31.0,ENE,W,2.0,13.0,95.0,55.0,1019.7,1018.7,4.45,4.51,11.2,14.9,Yes,No
2014-07-07,Adelaide,6.3,15.2,0.0,2.4,7.61,N,46.0,N,N,19.0,19.0,67.0,52.0,1015.2,1010.5,4.45,4.51,11.6,15.0,No,No
2014-07-08,Adelaide,11.6,18.5,0.0,2.6,7.61,WNW,69.0,NNE,N,19.0,26.0,39.0,30.0,1003.4,995.2,4.45,4.51,13.6,18.2,No,Yes
2014-07-09,Adelaide,8.0,10.9,13.2,1.6,7.61,WSW,74.0,SSW,SW,20.0,13.0,93.0,88.0,999.5,1004.9,4.45,4.51,8.6,9.3,Yes,Yes
2014-07-10,Adelaide,6.8,14.4,14.4,1.0,7.61,WSW,50.0,S,W,4.0,19.0,91.0,75.0,1017.0,1018.3,4.45,4.51,10.1,12.2,Yes,No
2014-07-11,Adelaide,7.6,15.9,0.0,1.4,7.61,NW,43.0,N,NW,13.0,28.0,92.0,69.0,1019.9,1018.0,4.45,4.51,9.2,15.4,No,Yes
2014-07-12,Adelaide,5.8,13.5,1.6,5.47,7.61,SSE,31.0,N,SSW,0.0,4.0,81.0,71.0,1027.5,1028.3,4.45,4.51,9.3,10.9,Yes,No
2014-07-13,Adelaide,3.8,13.5,0.2,5.47,7.61,ENE,24.0,NE,E,6.0,11.0,70.0,46.0,1034.5,1031.5,4.45,4.51,7.6,12.6,No,No
2014-07-14,Adelaide,6.1,11.9,0.0,3.4,7.61,ENE,33.0,NE,NNE,11.0,11.0,59.0,47.0,1029.5,1023.3,4.45,4.51,8.9,11.6,No,Yes
