Location,MonthNum,Month,Period,MaxTemp,Rainfall,Humidity3pm,WindSpeed3pm
Adelaide,1,Jan,Historical (2008–2017),30.95,0.81,32.66,16.4
Adelaide,1,Jan,2024,29.27,1.97,44.81,14.58
Adelaide,2,Feb,Historical (2008–2017),30.05,1.02,35.41,15.77
Adelaide,2,Feb,2024,30.13,0.0,35.59,16.52
Adelaide,3,Mar,Historical (2008–2017),27.11,1.23,40.31,15.06
Adelaide,3,Mar,2024,29.9,0.1,38.94,14.45
Adelaide,4,Apr,Historical (2008–2017),23.32,1.43,43.89,14.04
Adelaide,4,Apr,2024,21.09,0.4,53.3,13.37
Adelaide,5,May,Historical (2008–2017),19.18,2.23,53.75,12.62
Adelaide,5,May,2024,20.83,0.34,48.65,12.0
Adelaide,6,Jun,Historical (2008–2017),16.26,2.22,59.12,13.41
Adelaide,6,Jun,2024,15.83,2.79,68.0,11.93
Adelaide,7,Jul,Historical (2008–2017),15.38,2.86,59.46,15.19
Adelaide,7,Jul,2024,15.74,1.65,62.35,15.0
Adelaide,8,Aug,Historical (2008–2017),16.67,2.4,53.89,16.46
Adelaide,8,Aug,2024,19.06,1.38,59.35,15.84
Adelaide,9,Sep,Historical (2008–2017),19.69,1.82,46.74,17.16
Adelaide,9,Sep,2024,19.5,1.07,51.83,16.57
Adelaide,10,Oct,Historical (2008–2017),23.22,0.95,38.87,16.85
Adelaide,10,Oct,2024,24.61,0.5,42.9,14.97
Adelaide,11,Nov,Historical (2008–2017),26.46,0.75,35.74,16.31
Adelaide,11,Nov,2024,26.7,0.66,44.7,15.67
Adelaide,12,Dec,Historical (2008–2017),28.16,1.23,35.77,16.4
Adelaide,12,Dec,2024,28.94,0.46,42.81,16.5
Brisbane,1,Jan,Historical (2008–2017),30.25,6.44,59.35,13.07
Brisbane,1,Jan,2024,31.04,8.64,64.13,20.84
Brisbane,2,Feb,Historical (2008–2017),30.53,4.75,57.68,12.96
Brisbane,2,Feb,2024,31.13,4.92,61.52,19.14
Brisbane,3,Mar,Historical (2008–2017),29.12,4.63,60.22,11.93
Brisbane,3,Mar,2024,28.71,4.33,64.48,21.16
Brisbane,4,Apr,Historical (2008–2017),27.13,2.8,55.94,9.23
Brisbane,4,Apr,2024,27.58,2.34,57.03,16.1
Brisbane,5,May,Historical (2008–2017),24.4,2.89,52.9,8.65
Brisbane,5,May,2024,24.26,1.1,58.42,14.68
Brisbane,6,Jun,Historical (2008–2017),21.68,2.56,54.58,8.33
Brisbane,6,Jun,2024,22.63,0.33,44.07,13.93
Brisbane,7,Jul,Historical (2008–2017),21.59,1.01,48.76,9.05
Brisbane,7,Jul,2024,21.52,1.1,48.29,20.94
Brisbane,8,Aug,Historical (2008–2017),23.25,1.28,43.77,10.13
Brisbane,8,Aug,2024,25.86,2.12,51.68,19.26
Brisbane,9,Sep,Historical (2008–2017),25.38,1.32,49.43,11.45
Brisbane,9,Sep,2024,27.22,1.72,46.57,20.97
Brisbane,10,Oct,Historical (2008–2017),26.79,2.42,51.0,12.49
Brisbane,10,Oct,2024,28.11,3.01,55.16,24.58
Brisbane,11,Nov,Historical (2008–2017),28.74,3.34,55.93,12.75
Brisbane,11,Nov,2024,29.34,10.1,65.83,22.3
Brisbane,12,Dec,Historical (2008–2017),29.34,4.55,58.75,12.37
Brisbane,12,Dec,2024,30.65,7.13,62.56,21.23
Darwin,1,Jan,Historical (2008–2017),32.0,14.63,70.5,22.32
Darwin,1,Jan,2024,31.57,23.26,76.9,13.27
Darwin,2,Feb,Historical (2008–2017),31.92,16.74,69.6,22.77
Darwin,2,Feb,2024,32.92,12.95,69.86,13.34
Darwin,3,Mar,Historical (2008–2017),32.54,8.59,66.07,19.91
Darwin,3,Mar,2024,32.67,9.39,72.03,10.87
Darwin,4,Apr,Historical (2008–2017),33.17,3.34,52.83,18.29
Darwin,4,Apr,2024,33.35,2.25,46.53,14.17
Darwin,5,May,Historical (2008–2017),32.35,0.84,43.6,19.27
Darwin,5,May,2024,33.63,0.0,37.81,14.94
Darwin,6,Jun,Historical (2008–2017),31.2,0.0,34.32,18.89
Darwin,6,Jun,2024,32.22,0.01,27.97,13.55
Darwin,7,Jul,Historical (2008–2017),31.39,0.0,34.13,20.15
Darwin,7,Jul,2024,31.88,0.0,28.26,14.13
Darwin,8,Aug,Historical (2008–2017),32.11,0.01,34.44,21.87
Darwin,8,Aug,2024,34.96,0.0,23.74,12.96
Darwin,9,Sep,Historical (2008–2017),33.36,0.64,46.08,23.37
Darwin,9,Sep,2024,35.93,1.07,30.47,14.28
Darwin,10,Oct,Historical (2008–2017),34.0,2.7,49.85,23.27
Darwin,10,Oct,2024,36.96,2.51,37.42,10.16
Darwin,11,Nov,Historical (2008–2017),33.7,5.17,57.74,20.48
Darwin,11,Nov,2024,35.51,4.73,54.87,7.83
Darwin,12,Dec,Historical (2008–2017),32.72,10.64,67.17,19.19
Darwin,12,Dec,2024,34.45,11.51,62.24,10.05
Hobart,1,Jan,Historical (2008–2017),23.15,1.4,48.46,22.78
Hobart,1,Jan,2024,24.05,1.58,47.97,21.16
Hobart,2,Feb,Historical (2008–2017),22.46,1.12,50.72,20.67
Hobart,2,Feb,2024,25.42,0.14,38.76,22.07
Hobart,3,Mar,Historical (2008–2017),21.42,1.27,50.3,20.01
Hobart,3,Mar,2024,23.14,0.41,44.39,20.39
Hobart,4,Apr,Historical (2008–2017),18.63,0.87,51.82,17.91
Hobart,4,Apr,2024,18.88,1.45,50.03,16.97
Hobart,5,May,Historical (2008–2017),15.32,1.61,57.23,16.38
Hobart,5,May,2024,15.48,0.96,63.68,14.63
Hobart,6,Jun,Historical (2008–2017),13.15,1.84,61.01,16.43
Hobart,6,Jun,2024,12.58,1.07,69.4,14.48
Hobart,7,Jul,Historical (2008–2017),12.84,1.67,57.89,17.62
Hobart,7,Jul,2024,12.82,2.62,64.48,16.25
Hobart,8,Aug,Historical (2008–2017),13.95,1.97,55.03,18.92
Hobart,8,Aug,2024,15.27,2.3,63.39,20.67
Hobart,9,Sep,Historical (2008–2017),16.28,2.02,50.51,21.34
Hobart,9,Sep,2024,15.57,1.65,55.43,23.6
Hobart,10,Oct,Historical (2008–2017),17.89,1.71,48.14,22.26
Hobart,10,Oct,2024,18.34,1.01,50.29,20.83
